Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Mariz&oacute;polis,2509156,marizopolense,LUCAS GON&Ccedil;ALVES BRAGA,69.952,6705,95.85,7001,98.36,0.608,27.78,47327262.78,42807142.62,12250.49,
Massaranduba,2509206,massarandubense,JO&Atilde;O COSTA DE SOUSA,209.402,14139,67.52,14756,98.68,0.567,19.23,75052558.56,65409157.28,9262,
Mataraca,2509305,mataraquense,EYMARD DE ARA&Uacute;JO PEDROSA,182.439,8244,45.19,8650,98.48,0.536,-,70101193.94,64596732.71,27832.84,
Matinhas,2509339,matinhense,BENEDITO BRAZ DA SILVA,36.522,4571,125.16,4759,100,0.541,-,36702437.26,30052053.87,11933.63,
Mato Grosso,2509370,matogrossense,GIDALVA FRANCISCA DE LIMA,85.275,2543,29.82,2584,96.54,0.565,-,26263330.38,22030090.34,10801.82,
Matur&eacute;ia,2509396,matureense,ELIANDRO MACEDO SANTOS,83.053,6433,77.46,6717,99.26,0.572,8.85,42911505.48,38804404.28,9239.25,
Mogeiro,2509404,mogeirense,ANTONIO JOSE FERREIRA,214.093,13899,64.92,14435,99.18,0.574,10.87,93313261.26,77113350.17,12416.64,
Montadas,2509503,montadense,JOSE ROMERO MARTINS DOS SANTOS,31.793,5812,182.81,6144,99.61,0.590,-,44365538.8,41779385.32,9515.07,
Monte Horebe,2509602,horebense,MILENA KAREN TAVARES NOGUEIRA,116.854,4338,37.12,4429,99.25,0.587,-,49322224.88,46734446.99,9877.56,
Monteiro,2509701,monteirense,ANA PAULA BARBOSA OLIVEIRA MORATO,992.620,32277,32.52,33886,99.14,0.628,13.99,180380086.57,171088034.84,18888.75,
Mulungu,2509800,mulunguense,DANIELA RODRIGUES RIBEIRO,187.259,8791,46.95,8909,98.9,0.565,17.54,50310802.39,50894073.6,9852.41,
Natuba,2509909,natubense,JOSE LINS DA SILVA FILHO,202.173,8945,44.24,8935,100,0.541,40.54,66553893.29,55760140.44,9136.26,
Nazarezinho,2510006,nazarezinhense,MARCELO BATISTA VALE,193.203,7203,37.28,7394,99.46,0.562,-,46856559.19,44365002.2,9072.36,
Nova Floresta,2510105,nova-florestense,JOSE IRAN DOS SANTOS,47.572,9724,204.41,9840,98.86,0.601,9.09,51471226.93,46361043.71,9384.37,
Nova Olinda,2510204,nova-olindense,CICERO DAVID DE ANDRADE,81.516,5787,70.99,5897,99.38,0.573,12.99,43820465.81,41125625.79,9810.23,
Nova Palmeira,2510303,nova-palmeirense,ANT&Ocirc;NIO ORLANDO PEREIRA DE ARA&Uacute;JO,314.748,4259,13.53,4359,100,0.595,26.32,48608907.58,50008718.18,9775.17,
